LP,Symbol,ExecVenue,TradeQuantityUSD,NumEvents,MarkoutType,-10s,-5s,-4s,-3s,-2s,-1s,-500ms,-250ms,-100ms,0,50ms,100ms,250ms,500ms,1s,2s,3s,4s,5s,10s,15s,20s,30s,45s,1m,2m,3m,4m,5m,10m
LP1,EURUSD,Direct,66357105.0,52,MarkoutsAtZero,-27.276657111549138,-9.192685545851717,-8.363836849097794,-0.30139952607291465,-2.1851465641693637,-2.9386453793798863,-2.260496445660861,1.3562978674482966,0.9041985782948976,0.0,0.5274491706630637,0.45209928914127423,10.473633531748556,14.768576778636168,16.87837346130366,20.419817892902962,29.085054268147964,36.69539230200721,36.393992775898745,55.00541351220386,74.97313211600114,80.09692405963376,47.093675952247565,24.262661850605916,44.23038045435745,-8.740586256726784,71.3563378028628,88.0086616196114,74.89778223451572,-9.117335664337817
LP2,EURUSD,Direct,43571645.0,41,MarkoutsAtZero,-20.540881575671083,1.2622888119184652,0.22950705669506652,5.163908775945474,6.88521170130167,3.0983452655871067,3.098345265572706,2.524577623801487,1.7213029253038905,0.0,-1.491795868618526,-0.8032746985029915,4.81964819090514,2.5245776238210693,6.5409511162660765,13.655669874263138,16.639261611516975,21.114649217344528,19.508099820368322,30.86869912754376,36.72112907367247,34.88507261998059,26.27855799331943,10.098310495240115,1.0327817551703797,-19.393346292074774,63.80296176559667,63.45870118050765,24.901515653079233,-42.344051963194
LP3,EURUSD,Direct,120520800.5,104,MarkoutsAtZero,15.50354787097036,9.803287026805386,9.662232537184334,10.790668453938492,9.778395058034317,7.28919818283766,5.480381786870865,3.144685385651579,1.286085052179397,0.0,-1.1616252084287229,-2.995333573165856,-0.31944693233726423,-0.2364737031370208,-0.2862576406579143,5.53846304729424,-0.136905828127288,5.29784068268861,-1.124287255308105,0.35263622395653405,-15.470358579310306,-1.8834923022316288,10.491964828895773,-3.81676854196612,5.107002255587116,6.907521328642716,7.853416141205529,-16.378915438762306,-43.291282321015146,111.93503481582884
LP4,EURUSD,Direct,72124454.5,42,MarkoutsAtZero,-16.762691771915758,7.417733745221069,9.948082172318726,16.651772388799074,11.459358767142062,1.5390064406123234,-0.4852723010878818,0.8318953732892714,0.5545969155253319,0.0,0.18024399755273482,0.31889322644082735,3.126540111299739,6.426391758672492,6.828474522474901,18.10065683062139,21.234129403384053,29.123270526804873,32.839069860850934,21.525292783991024,27.62585885484113,26.94647763332973,24.09030351834085,5.878727304626451,-0.2357036891237167,-12.305119063315505,-5.552901616751533,19.94469157479582,11.591075534584883,93.12375457897974
LP5,EURUSD,Direct,339992548.5,190,MarkoutsAtZero,-24.65054024558566,-5.907482410564809,-3.7353759828121786,-1.7426852518036624,-2.1382821570748485,-1.9721020444549013,-0.8794310384684237,0.3470664298983115,0.08235474607371777,0.0,0.27647664754516393,-2.589762640036061,-4.492745522630033,-5.042757576792467,-5.9971902589997805,1.1632607883645003,1.3279702805311018,1.8926885393442656,2.69417669311551,-0.6132487341762772,-2.7721195777653724,1.9294540509758926,-4.610395159887002,-16.268003591258296,-36.065496300139515,-43.85390228632012,13.576768139063644,12.248797858576117,-27.37707058893107,0.825018081235555
LP6,EURUSD,Direct,120618665.0,111,MarkoutsAtZero,-11.97990377361422,1.8239299863067298,5.803413592732686,7.005549265522564,4.6841838284274955,3.357689292935067,4.14529542336947,3.026065659061782,-1.2850415812472022,0.0,-1.575212260904508,-2.445724299824555,-0.9948709016385736,-3.3991422471907367,1.1606827185426258,11.192297643123707,9.824350153449515,12.021356727825742,8.124779029814182,15.420498974979001,17.120070098590542,18.405111679834512,14.674345798768684,11.565374231264485,-3.979483606468453,-36.064070183486464,25.079037311522523,52.76961073975246,-4.186748377618774,-14.591439890348886
LP1,EURUSD,Direct,66357105.0,52,MarkoutsAtZeroAverage,-24.38336192698372,-4.91194089184581,-3.0463133551646044,2.1005444812363447,-0.17603536952485235,-1.7687724096237238,-1.9809636105479098,0.7261434835669468,0.18228268445945434,0.0,0.6299598665472105,0.5383986296066017,4.615529952095576,7.944233961105945,9.752678901295916,13.040875557417651,17.808988891566425,21.144649165978105,20.281397672346106,31.50797148534843,43.43884845479608,48.823592263717956,31.332487482752185,15.684745110696216,15.053932348704572,-16.051053223487415,26.712864827661722,20.912013180342566,-8.445207067662244,-48.163897265884025
LP2,EURUSD,Direct,43571645.0,41,MarkoutsAtZeroAverage,-20.442573516878895,1.2703524085512192,0.21399769571018523,5.175212863505494,6.9055492700672385,3.1159829100291243,3.116424728142384,2.5411776614162793,1.7235889565890052,0.0,-1.498700767704888,-0.8090057373956427,4.787389324972666,2.4995905928848754,6.553259260285255,13.60455644265522,16.538204373812814,20.98402827982595,19.34986692019059,30.68909176530105,36.4658056501527,34.564767669844834,26.107157775339015,9.92579386401659,0.7852718316145673,-19.41375209349382,63.90768193704061,63.74185525662361,25.050090156362764,-42.251635579869145
LP3,EURUSD,Direct,120520800.5,104,MarkoutsAtZeroAverage,10.29679232486322,8.82636122331859,9.248397941341365,10.51344598050939,9.519913800768528,5.950168715388107,4.736548520680642,3.1123314339236687,1.3458511060124088,0.0,-1.2999953772085533,-2.999219880241476,0.1456807270329753,0.0822863626158514,0.7697597956332837,5.686776191740628,1.558437337932756,6.941789497615413,2.0445365599579812,4.759343536967585,-7.664244134577042,2.1679400901654726,13.442778015334046,-0.3830835010139626,7.2538995214293625,4.21363169122041,10.071400633346327,-2.9482830799467123,-32.13520050959228,115.7669922718235
LP4,EURUSD,Direct,72124454.5,42,MarkoutsAtZeroAverage,-13.16901146084092,2.31823630935419,5.856157993134299,13.352838755423125,7.585306151570134,-0.5593098149625497,-1.2267768848947138,-0.22451552657750304,-0.4431114559246195,0.0,-0.0011445309594251168,-0.10735863196590738,3.7624506583622264,5.793755847604052,3.46964496809678,13.55876565549749,16.863941836750683,22.710184963131972,25.94988932109954,21.91968206839899,24.64499307131261,21.197037882460975,16.517612006854204,-2.4820592662738457,-14.605401514383455,-19.425751016166082,-23.24141359188485,-6.946663358441989,-5.994075167587673,27.774068965358794
LP5,EURUSD,Direct,339992548.5,190,MarkoutsAtZeroAverage,-21.795620359016677,-8.047404862364019,-5.940045116764895,-4.313596341215239,-3.4830922561565467,-2.7115153059800274,-1.6060053715057745,-0.636713289868164,-0.24314712129211297,0.0,0.41992334121347014,-1.1848237504722008,-2.9613021811703004,-2.7624761182962634,-2.802520916428701,1.7590521868916575,2.3514909979421565,2.363724259687858,2.7734226350273334,1.3760360766320419,0.7029949230156959,8.07214893179662,0.718426949560054,-11.117887079380964,-22.79609685411107,-28.06837536922148,12.104157356189983,5.869930011560027,-14.454977714761197,19.90144875533927
LP6,EURUSD,Direct,120618665.0,111,MarkoutsAtZeroAverage,-10.148272480789299,2.0317457096781273,6.0738109077776965,6.795889816577657,4.406358088189572,3.041000889037517,3.851495763826549,2.6967449331664337,-1.3078688086915973,0.0,-1.594983816431382,-2.4891180164228746,-0.7600434272338309,-3.3102319489791543,1.367984950185842,11.56755810701967,10.121346624301905,12.27311897339228,8.395414418107318,15.458537737525901,17.464114727500338,19.237632817915962,16.421118834504494,13.761909947123177,-1.5016584884793105,-32.166672149134286,30.319323513899715,60.37828901999468,6.50510686517336,5.137655847043249
